UMPD Case Number,Date Occurred,Report Date,Crime Type,Disposition,LOCATION
2017-00040699,2017-06-28 17:25:00,2017-06-29 14:05:00,Telephone/EMail Misuse,CBE,Chesapeake Building at 4300  Terrapin  Trl
2017-00040744,2017-06-28 20:00:00,2017-06-29 18:14:00,Theft,Arrest,7500 block of  Princeton  Ave
2017-00040784,2016-06-29 20:52:00,2017-06-29 20:52:00,CDS Violation,Arrest,Baltimore  Ave
2017-00040808,2017-06-29 22:55:00,2017-06-29 23:04:00,Assist Other Agency,CBE,7500 block of  Hopkins  Ave
2017-00040825,2017-06-30 02:06:00,2017-06-30 02:06:00,CDS Violation,Arrest,Baltimore  Ave
2017-00040885,2017-06-28 12:40:00,2017-06-30 11:44:00,Dept Property Damage/Loss,CBE,7500 block of  Baltimore  Ave
2017-00041046,2017-06-30 23:52:00,2017-06-30 23:52:00,DWI/DUI,Arrest,Baltimore  Ave
2017-00041048,2017-06-30 23:58:00,2017-06-30 23:58:00,DWI/DUI,Arrest,Yale  Ave
2017-00041126,2017-07-01 11:40:00,2017-07-01 11:40:00,Injured/Sick Person,CBE,"MFRI, MFRI Office/Classroom Building at 4500  Campus  Dr"
2017-00041130,2017-06-30 08:30:00,2017-07-01 12:21:00,Theft,Active/Pending,"Comcast Center, Xfinity Center at 8500  Paint Branch  Dr"
2017-00041139,2017-07-01 14:45:00,2017-07-01 14:45:00,Warrant/Summons Service,Arrest,University  Blvd
2017-00041183,2017-07-01 20:47:00,2017-07-01 20:47:00,Injured/Sick Person,CBE,12  Fraternity  Row
2017-00041190,2017-06-15 18:30:00,2017-07-01 21:17:00,Theft,Active/Pending,7000 block of  Preinkert  Dr
2017-00041193,2017-07-01 22:03:00,2017-07-01 22:03:00,Damage to State Property,Active/Pending,7500 block of  Mowatt  Ln
2017-00041272,2017-07-02 02:32:00,2017-07-02 02:32:00,DWI/DUI,Arrest,"Terrapin Row, Terrapin Row #2, Terrapin Row 2, TR2 at 4300  Hartwick  Rd"
2017-00041335,2017-07-02 13:30:00,2017-07-02 14:45:00,Other Incident,CBE,Lot 14a
2017-00041418,2017-07-02 22:35:00,2017-07-02 23:07:00,Theft,Active/Pending,Tawes Hall at 7751  Alumni  Dr
2017-00041466,2017-07-03 07:45:00,2017-07-03 07:47:00,Accident - Departmental,CBE,7500 block of  Baltimore  Ave
2017-00041551,2017-07-03 13:11:00,2017-07-03 13:11:00,CDS Violation,Arrest,Adelphi  Rd
2017-00041739,2017-07-04 01:05:00,2017-07-04 01:05:00,CDS Violation,Arrest,7200 block of  Baltimore  Ave
2017-00041755,2017-07-04 02:16:00,2017-07-04 02:16:00,Suspicious Activity,Arrest,"Leonardtown #245, Leonardtown at 4689  Rossborough  Ln"
2017-00041828,2017-07-04 00:00:00,2017-07-04 10:48:00,Vandalism,Suspended,Martin Hall at 4298  Campus  Dr
2017-00041841,2017-07-04 11:48:00,2017-07-04 11:48:00,CDS Violation,Arrest,University  Blvd
2017-00041884,2017-07-04 15:00:00,2017-07-04 15:46:00,Injured/Sick Person,CBE,4300 block of  Rowalt  Dr
2017-00041908,2017-07-04 19:52:00,2017-07-04 20:10:00,Assist Other Agency,CBE,4700 block of  College  Ave
2017-00041967,2017-07-05 01:52:00,2017-07-05 01:52:00,DWI/DUI,Arrest,Baltimore  Ave
2017-00042167,2017-07-05 23:10:00,2017-07-05 23:10:00,CDS Violation,Arrest,Baltimore  Ave
2017-00042213,2017-07-06 01:38:00,2017-07-06 01:38:00,Injured/Sick Person,CBE,4500 block of  Hartwick  Rd
2017-00042318,2017-07-06 14:05:00,2017-07-06 14:05:00,Hazardous Condition,CBE,8000 block of  Regents  Dr
2017-00042450,2017-07-06 23:41:00,2017-07-06 23:41:00,Injured/Sick Person,CBE,4400 block of  Knox  Rd
2017-00042791,2017-07-08 00:37:00,2017-07-08 00:37:00,CDS Violation,Arrest,Rhode Island  Ave
2017-00042798,2017-07-08 00:53:00,2017-07-08 00:53:00,DWI/DUI,Arrest,Baltimore  Ave
2017-00042906,2017-07-08 14:59:00,2017-07-08 14:59:00,CDS Violation,Arrest,Baltimore  Ave
2017-00042969,2017-07-08 22:03:00,2017-07-08 22:03:00,DWI/DUI,Arrest,University  Blvd
2017-00043056,2017-07-09 02:15:00,2017-07-09 02:26:00,Injured/Sick Person,CBE,4400 block of  Lehigh  Rd
2017-00043117,2017-07-08 23:00:00,2017-07-09 10:27:00,Assist Other Agency,CBE,7000 block of  Wake Forest  Dr
2017-00043148,2017-06-28 12:00:00,2017-07-09 14:08:00,Theft,Suspended,Annapolis Hall at 7626  Regents  Dr
2017-00043342,2017-07-10 07:44:00,2017-07-10 07:44:00,Injured/Sick Person,CBE,3900 block of  Campus  Dr
2017-00043352,2017-07-10 08:36:00,2017-07-10 08:36:00,Theft from Auto,Active/Pending,Lot 1b
2017-00043366,2017-07-07 10:30:00,2017-07-10 09:20:00,Theft,Suspended,4200 block of  Stadium  Dr
2017-00043414,2017-06-30 07:30:00,2017-07-10 12:01:00,Theft,CBE,Animal Science Building at 8127  Regents  Dr
2017-00043564,2017-07-10 22:56:00,2017-07-10 22:56:00,CDS Violation,Arrest,7500 block of  Baltimore  Ave
2017-00043673,2017-07-11 09:50:00,2017-07-11 10:03:00,Injured/Sick Person,CBE,"Leonardtown #250, Leonardtown Community Center at 7559  Yale  Ave"
2017-00043750,2017-06-12 18:00:00,2017-07-11 19:49:00,Theft,Investigation Pending,"S Campus Surge, Susquehanna Hall at 4200  Lehigh  Rd"
2017-00043843,2017-07-12 00:29:00,2017-07-12 00:29:00,DWI/DUI,Arrest,Princeton  Ave
2017-00043848,2017-07-12 00:45:00,2017-07-12 01:01:00,Injured/Sick Person,CBE,Baltimore  Ave
2017-00043869,2017-07-12 04:19:00,2017-07-12 04:19:00,Weapon Violation,Arrest,Knox  Rd
2017-00044155,2017-07-13 04:11:00,2017-07-13 10:10:00,Other Incident,CBE,Morrill Hall at 7313  Preinkert  Dr
2017-00044159,2017-07-13 08:00:00,2017-07-13 10:46:00,Lost Property,Unfounded,Annapolis Hall at 7626  Regents  Dr
2017-00044433,2017-07-14 10:59:00,2017-07-14 13:02:00,Title IX Incident Non Criminal,CBE,7500 block of  Baltimore  Ave
2017-00044578,2017-07-14 22:15:00,2017-07-14 22:15:00,Assist Other Agency,CBE,Campus  Dr
2017-00044625,2017-07-15 00:06:00,2017-07-15 00:06:00,DWI/DUI,Arrest,Baltimore  Ave
2017-00044710,2017-07-15 08:02:00,2017-07-15 08:02:00,Theft,Arrest,3500 block of  University  Blvd
2017-00044889,2017-07-15 22:10:00,2017-07-15 22:10:00,CDS Violation,Arrest,Baltimore  Ave
2017-00044919,2017-07-16 00:52:00,2017-07-16 00:52:00,DWI/DUI,Arrest,Baltimore  Ave
2017-00045063,2017-07-16 16:36:00,2017-07-16 16:36:00,Warrant/Summons Service,Arrest,4600 block of  Calvert  Rd
2017-00045117,2017-07-16 21:16:00,2017-07-16 21:16:00,Emergency Petition,CBE,4100 block of  Valley  Dr
2017-00045143,2017-07-17 00:46:00,2017-07-17 00:46:00,DWI/DUI,Arrest,Baltimore  Ave
2017-00045202,2017-07-17 08:00:00,2017-07-17 10:16:00,Theft,Unfounded,"Atlantic Building, Computer & Space Sciences Building at 4254  Stadium  Dr"
2017-00045211,2017-07-17 09:50:00,2017-07-17 10:51:00,Emergency Petition,CBE,Preinkert Hall at 7480  Preinkert  Dr
2017-00045212,2017-07-14 15:30:00,2017-07-17 11:08:00,Stolen Motor Vehicle,Active/Pending,7500 block of  Preinkert  Dr
2017-00045270,2017-07-17 17:55:00,2017-07-17 17:55:00,Emergency Petition,CBE,7600 block of  Library  Ln
2017-00045411,2017-07-18 09:26:00,2017-07-18 09:26:00,Assist Other Agency (Title IX Related),CBE,"Eppley Recreation Center, ERC at 4128  Valley  Dr"
2017-00045461,2017-07-18 15:45:00,2017-07-18 16:38:00,Accident - Departmental,CBE,7300 block of  Baltimore  Ave
2017-00045684,2017-07-19 08:54:00,2017-07-19 12:01:00,Other Incident,CBE,Biology-Psychology Building at 4094  Campus  Dr
2017-00045685,2017-07-19 12:16:00,2017-07-19 12:16:00,Injured/Sick Person,CBE,4300 block of  Stadium  Dr
2017-00046033,2017-07-21 23:08:00,2017-07-20 23:08:00,CDS Violation,Arrest,4400 block of  Campus  Dr
2017-00046056,2017-07-20 23:46:00,2017-07-20 23:46:00,Warrant/Summons Service,Arrest,University  Blvd
2017-00046223,2017-07-21 16:10:00,2017-07-21 16:14:00,Accident - Departmental,CBE,5200 block of  Greenbelt  Rd
2017-00046230,2017-07-21 17:00:00,2017-07-21 17:28:00,Theft,Active/Pending,7600 block of  Library  Ln
2017-00046353,2017-07-22 02:51:00,2017-07-22 02:51:00,DWI/DUI,Arrest,Baltimore  Ave
2017-00046358,2017-07-22 02:45:00,2017-07-22 03:32:00,Assist Other Agency,CBE,7400 block of  Columbia  Ave
2017-00046609,2017-07-23 03:04:00,2017-07-23 03:04:00,DWI/DUI,Arrest,University  Blvd
2017-00046741,2017-07-23 20:52:00,2017-07-23 20:52:00,CDS Violation,Arrest,Baltimore  Ave
2017-00046743,2017-07-23 21:40:00,2017-07-23 21:40:00,Assist Other Agency,CBE,4800 block of  College  Ave
2017-00046748,2017-07-23 22:37:00,2017-07-23 22:37:00,Suspicious Activity,Active/Pending,"Maryland Softball Stadium, Rober E. Taylor Stadium at 8680  Paint Branch  Dr"
2017-00046750,2017-07-23 22:45:00,2017-07-23 22:45:00,Dept Property Damage/Loss,CBE,7500 block of  Baltimore  Ave
2017-00046926,2017-07-04 03:00:00,2017-07-24 15:06:00,Theft,Active/Pending,"Leonardtown, Leonardtown #201, Leonardtown Leonardtown Office Building at 4725  Rossborough  Ln"
2017-00046967,2016-12-20 12:00:00,2017-07-24 20:02:00,Theft,Active/Pending,Martin Hall at 4298  Campus  Dr
2017-00046981,2017-07-24 22:11:00,2017-07-24 22:11:00,Vandalism,Suspended,4100 block of  Valley  Dr
2017-00047091,2017-07-25 07:52:00,2017-07-25 07:52:00,Hazardous Condition,CBE,"Chapel, Memorial Chapel at 7744  Regents  Dr"
2017-00047097,2017-07-25 09:16:00,2017-07-25 09:16:00,Domestic,Warrant Issued,Health Center at 3983  Campus  Dr
2017-00047164,2017-07-25 16:35:00,2017-07-25 16:39:00,Damage to State Property,CBE,4000 block of  Campus  Dr
2017-00047225,2017-07-25 22:31:00,2017-07-25 22:31:00,Injured/Sick Person,CBE,Adelphi  Rd
2017-00047263,2017-07-26 00:47:00,2017-07-26 00:47:00,Injured/Sick Person,CBE,"Eppley Recreation Center, ERC at 4128  Valley  Dr"
2017-00047352,2017-07-26 11:53:00,2017-07-26 11:53:00,Assist Other Agency,CBE,7300 block of  Baltimore  Ave
2017-00047430,2017-07-26 22:20:00,2017-07-26 22:20:00,CDS Violation,Arrest,University  Blvd
2017-00047566,2017-07-27 09:42:00,2017-07-27 09:40:00,Assist Other Agency,CBE,6800 block of  Preinkert  Dr
2017-00047568,2017-07-27 09:15:00,2017-07-27 09:47:00,Theft,Suspended,7200 block of  Preinkert  Dr
2017-00047594,2017-07-14 17:00:00,2017-07-27 12:27:00,Burglary (Title IX Related),CBE,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200  Valley  Dr"
2017-00047671,2017-07-27 21:10:00,2017-07-27 21:10:00,Theft,Arrest,"Leonardtown #247, Leonardtown at 4713  Rossborough  Ln"
2017-00047713,2017-07-28 00:05:00,2017-07-28 00:05:00,CDS Violation,Arrest,Baltimore  Ave
2017-00047765,2017-07-27 23:50:00,2017-07-28 02:04:00,Assist Other Agency,CBE,4200 block of  Knox  Rd
2017-00047826,2017-07-24 07:45:00,2017-07-28 13:05:00,Other Incident,CBE,Mckeldin Mall
2017-00047858,2017-07-28 18:58:00,2017-07-28 18:58:00,Other Incident,CBE,7500 block of  Preinkert  Dr
2017-00047972,2017-07-29 06:08:00,2017-07-29 06:08:00,Assist Other Agency,CBE,Golf Course  Rd
2017-00048077,2017-07-29 18:16:00,2017-07-29 18:16:00,DWI/DUI,Arrest,Archery Range at 2930  University  Bl
2017-00048094,2017-07-29 20:53:00,2017-07-29 20:53:00,DWI/DUI,Arrest,University  Blvd
2017-00048131,2017-07-30 00:42:00,2017-07-30 00:42:00,DWI/DUI,Arrest,Baltimore  Ave
2017-00048248,2017-07-30 15:31:00,2017-07-30 15:29:00,Assist Other Agency,CBE,8100 block of  Baltimore  Ave
2017-00048268,2017-07-30 16:54:00,2017-07-30 16:54:00,Theft,Arrest,Baltimore  Ave
2017-00048275,2017-07-30 19:00:00,2017-07-30 18:31:00,Theft,Active/Pending,Martin Hall at 4298  Campus  Dr
2017-00048436,2017-07-31 14:09:00,2017-07-31 14:09:00,Traffic Arrest,Arrest,2800 block of  Metzerott  Rd
2017-00048487,2017-07-31 19:56:00,2017-07-31 19:56:00,Trespassing,Arrest,7600 block of  Library  Ln
2017-00048610,2017-07-27 22:00:00,2017-08-01 02:12:00,Dept Property Damage/Loss,Unfounded,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2017-00048671,2017-06-23 00:00:00,2017-08-01 10:41:00,Burglary,Arrest,"Comcast Center, Xfinity Center at 8500  Paint Branch  Dr"
2017-00048684,2017-08-01 13:22:00,2017-08-01 13:22:00,Theft,Arrest,4000 block of  Campus  Dr
2017-00048692,2017-08-01 14:00:00,2017-08-01 15:16:00,Theft,Active/Pending,Anne Arundel Hall at 3915  Campus  Dr
2017-00048722,2017-08-01 19:10:00,2017-08-01 19:10:00,Damage to State Property,CBE,"Cole Field House, Cole Student Activities Building, Driscoll Center at 4090  Union  Dr"
2017-00048726,2017-07-27 22:30:00,2017-08-01 19:37:00,Injured Officer,CBE,7500 block of  Baltimore  Ave
2017-00048917,2017-08-02 09:55:00,2017-08-02 09:55:00,Domestic (Title IX Related),CBE,4300 block of  Rowalt  Dr
2017-00048919,2017-08-02 08:50:00,2017-08-02 10:59:00,Injured Officer,CBE,"Litton, Police Services & Training Facility at 7147  51st  Ave"
2017-00048951,2017-07-11 00:00:00,2017-08-02 16:14:00,Police Information,Active/Pending,7500 block of  Baltimore  Ave
2017-00048965,2017-08-01 00:01:00,2017-08-02 17:49:00,Other Incident,Active/Pending,7500 block of  Baltimore  Ave
2017-00049071,2017-08-03 01:14:00,2017-08-03 01:14:00,Injured/Sick Person,CBE,7300 block of  Baltimore  Ave
2017-00049086,2017-08-03 02:03:00,2017-08-03 02:03:00,Injured/Sick Person,CBE,Knox  Rd
2017-00049089,2017-08-03 02:11:00,2017-08-03 02:11:00,DWI/DUI,Arrest,9000 block of  Baltimore  Ave
2017-00049160,2017-08-03 09:11:00,2017-08-03 09:11:00,Warrant/Summons Service,Arrest,7600 block of  Library  Ln
2017-00049173,2017-08-03 12:18:00,2017-08-03 12:18:00,Hazardous Condition,CBE,Ellicott Area Dining Hall at 4028  Stadium  Dr
2017-00049174,2017-08-03 13:00:00,2017-08-03 13:14:00,Death Investigation,CBE,"Brendan Iribe Center, Iribe Center at 8125  Paint Branch  Dr"
2017-00049308,2017-08-04 01:35:00,2017-08-04 01:35:00,Disorderly Conduct,Arrest,4200 block of  Knox  Rd
2017-00049326,2017-08-04 02:57:00,2017-08-04 02:57:00,Disorderly Conduct,Arrest,7500 block of  Baltimore  Ave
2017-00049354,2017-08-04 06:06:00,2017-08-04 06:32:00,Threat Assessment,Warrant Issued,7500 block of  Baltimore  Ave
2017-00049368,2017-08-04 08:18:00,2017-08-04 08:18:00,Trespassing,Arrest,340 block of  Ehrensberger  Dr
2017-00049392,2017-08-04 12:00:00,2017-08-04 13:26:00,Accident - Departmental,Suspended,Yale  Ave
2017-00049472,2017-08-04 19:39:00,2017-08-04 19:39:00,Injured/Sick Person,CBE,"7-11 Guilford, 7-Eleven Guilford at 7201  Baltimore  Ave"
2017-00049530,2017-08-04 23:19:00,2017-08-04 23:19:00,CDS Violation,Arrest,7300 block of  Yale  Ave
2017-00049571,2017-08-05 01:27:00,2017-08-05 01:27:00,CDS Violation,Arrest,8100 block of  Baltimore  Ave
2017-00049574,2017-08-05 01:49:00,2017-08-05 01:49:00,Disorderly Conduct,Arrest,"7-11 Varsity, 7-Eleven Varsity at 8150  Baltimore  Ave"
2017-00049577,2017-08-05 02:21:00,2017-08-05 02:21:00,Injured/Sick Person,CBE,College  Ave
2017-00049585,2017-08-05 03:00:00,2017-08-05 03:43:00,Assist Other Agency,CBE,"Terrapin Row #1, Terrapin Row 1, TR1 at 4207  Knox  Rd"
2017-00049639,2017-08-05 11:35:00,2017-08-05 11:35:00,Warrant/Summons Service,CBE,Baltimore  Ave
2017-00049692,2017-08-05 20:34:00,2017-08-05 20:34:00,CDS Violation,Arrest,"Leonardtown #240, Leonardtown at 4624  Norwich  Rd"
2017-00049695,2017-08-05 21:25:00,2017-08-05 21:25:00,CDS Violation,Arrest,8700 block of  Baltimore  Ave
2017-00049747,2017-08-06 01:12:00,2017-08-06 01:12:00,Assist Other Agency,CBE,4300 block of  Hartwick  Rd
2017-00049828,2017-08-06 15:08:00,2017-08-06 15:08:00,Other Incident,CBE,8700 block of  Boteler  Ln
2017-00049991,2017-08-07 09:00:00,2017-08-07 09:01:00,Injured/Sick Person,CBE,7700 block of  Adelphi  Rd
2017-00050039,2017-07-24 08:00:00,2017-08-07 13:49:00,Lost Property,CBE,7600 block of  Library  Ln
2017-00050064,2017-08-07 17:54:00,2017-08-07 17:54:00,CDS Violation,Arrest,Regents  Dr
2017-00050189,2017-08-06 12:01:00,2017-08-08 09:46:00,Threat Assessment,CBE,7600 block of  Baltimore  Ave
2017-00050440,2017-08-08 23:17:00,2017-08-08 23:17:00,Suspicious Activity,CBE,Ritchie Coliseum at 7675  Baltimore  Ave
2017-00050529,2017-07-23 13:00:00,2017-08-09 11:15:00,Theft,CBE,7000 block of  Preinkert  Dr
2017-00050541,2017-08-08 17:00:00,2017-08-09 12:13:00,Vandalism,Suspended,7500 block of  Calvert Service  Ln
2017-00050552,2017-08-09 14:20:00,2017-08-09 14:15:00,Assist Other Agency,CBE,7500 block of  Baltimore  Ave
2017-00050703,2017-08-09 19:10:00,2017-08-09 20:27:00,Theft,Active/Pending,Architecture Building at 3835  Campus  Dr
2017-00050801,2017-08-10 07:44:00,2017-08-10 07:44:00,Weapon Violation,Arrest,3900 block of  Campus  Dr
2017-00050819,2017-08-10 12:00:00,2017-08-10 12:13:00,Hate Bias Incident,Active/Pending,Architecture Building at 3835  Campus  Dr
2017-00050848,2017-08-09 17:00:00,2017-08-10 17:14:00,Burglary,Suspended,8000 block of  Regents  Dr
2017-00050981,2017-08-11 01:18:00,2017-08-11 01:18:00,DWI/DUI,Arrest,Baltimore  Ave
2017-00051049,2017-07-11 13:45:00,2017-08-11 13:40:00,Vandalism,Suspended,"Journalism Building, Knight Hall at 7765  Alumni  Dr"
2017-00051053,2017-08-04 20:00:00,2017-08-11 14:13:00,Dept Property Damage/Loss,CBE,7500 block of  Baltimore  Ave
2017-00051159,2017-08-11 18:46:00,2017-08-11 18:46:00,CDS Violation,Arrest,7500 block of  Mowatt  Ln
2017-00051257,2017-08-11 23:19:00,2017-08-11 23:19:00,Injured/Sick Person,CBE,4800 block of  Berwyn House  Rd
2017-00051276,2017-08-06 00:15:00,2017-08-12 00:49:00,Dept Property Damage/Loss,CBE,7500 block of  Baltimore  Ave
2017-00051277,2017-08-12 00:49:00,2017-08-12 00:49:00,CDS Violation,Arrest,Baltimore  Ave
2017-00051307,2017-08-12 02:55:00,2017-08-12 02:55:00,DWI/DUI,Arrest,Taco Bell at 8428  Baltimore  Ave
2017-00051311,2017-08-12 03:53:00,2017-08-12 03:53:00,DWI/DUI,Arrest,Baltimore  Ave
2017-00051496,2017-08-12 15:30:00,2017-08-12 23:23:00,Burglary,Arrest,6900 block of  Preinkert  Dr
2017-00051542,2017-08-13 03:52:00,2017-08-13 03:52:00,DWI/DUI,Arrest,Frat Row
2017-00051543,2017-08-13 04:22:00,2017-08-13 04:22:00,DWI/DUI,Arrest,8600 block of  Baltimore  Ave
2017-00051549,2017-08-13 05:59:00,2017-08-13 05:59:00,DWI/DUI,Arrest,Baltimore  Ave
2017-00051594,2017-08-13 12:00:00,2017-08-13 12:30:00,Injured/Sick Person,CBE,Recreation Artificial Turf Field
2017-00051595,2017-08-13 12:00:00,2017-08-13 12:57:00,Injured/Sick Person,CBE,Recreation Artificial Turf Field
2017-00051778,2017-08-14 02:43:00,2017-08-14 02:43:00,CDS Violation,Arrest,"MFRI, MFRI Office/Classroom Building at 4500  Campus  Dr"
2017-00051893,2017-08-14 14:32:00,2017-08-14 14:32:00,CDS Violation,Arrest,College  Ave
2017-00051954,2017-07-21 11:30:00,2017-08-14 20:15:00,Assist Other Agency,CBE,7300 block of  Baltimore  Ave
2017-00052023,2017-08-15 02:56:00,2017-08-15 02:56:00,Emergency Petition,CBE,7500 block of  Mowatt  Ln
2017-00052025,2017-08-15 05:50:00,2017-08-15 05:50:00,Assist Other Agency,CBE,7300 block of  Yale  Ave
2017-00052043,2017-08-15 10:35:00,2017-08-15 10:35:00,Other Incident,CBE,7200 block of  Preinkert  Dr
2017-00052053,2017-08-10 14:00:00,2017-08-15 14:33:00,Telephone/EMail Misuse,CBE,7600 block of  Mowatt  Ln
2017-00052093,2017-08-15 16:37:00,2017-08-15 16:37:00,DWI/DUI,Arrest,University  Blvd
2017-00052276,2017-08-15 16:00:00,2017-08-16 07:47:00,Dept Property Damage/Loss,CBE,7500 block of  Baltimore  Ave
2017-00052564,2017-08-17 04:54:00,2017-08-17 04:54:00,Suspicious Person/Auto,CBE,Annapolis Hall at 7626  Regents  Dr
2017-00052575,2017-08-17 06:10:00,2017-08-17 06:10:00,Weapon Violation,Arrest,7500 block of  Baltimore  Ave
2017-00052588,2017-08-16 18:00:00,2017-08-17 08:37:00,Vandalism,CBE,6800 block of  Preinkert  Dr
2017-00052614,2017-08-17 01:23:00,2017-08-17 11:07:00,Title IX Incident Non Criminal,CBE,7500 block of  Baltimore  Ave
2017-00052747,2017-08-17 16:30:00,2017-08-17 20:33:00,Theft from Auto,Suspended,Golf Course Club House at 3800  Golf Course  Rd
2017-00052813,2017-08-18 01:46:00,2017-08-18 01:46:00,Alcohol Violation,CBE,Hartwick  Rd
2017-00052872,2017-07-17 12:30:00,2017-08-18 04:23:00,Vandalism,Active/Pending,Lot Z
2017-00052959,2017-08-18 13:59:00,2017-08-18 13:59:00,Injured/Sick Person,CBE,"La Plata Hall, LaPlata hall at 4121  Farm  Dr"
2017-00053211,2017-08-19 02:21:00,2017-08-19 02:21:00,Disorderly Conduct,Arrest,7300 block of  Baltimore  Ave
2017-00053362,2017-08-20 12:18:00,2017-08-19 23:37:00,CDS Violation,Arrest,7100 block of  Baltimore  Ave
2017-00053461,2017-08-20 10:50:00,2017-08-20 10:50:00,Recovered Stolen Property,Arrest,West Gate at 3841  Stadium  Dr
2017-00053711,2017-08-20 07:15:00,2017-08-21 08:30:00,Injured Officer,CBE,7500 block of  Baltimore  Ave
2017-00053750,2017-08-17 16:30:00,2017-08-21 11:22:00,Burglary,Suspended,4500 block of  Campus  Dr
2017-00053772,2017-08-21 08:30:00,2017-08-21 13:29:00,Other Incident,CBE,Hornbake Library at 4130  Campus  Dr
2017-00053793,2017-08-21 16:25:00,2017-08-21 16:25:00,Injured/Sick Person,CBE,Rivertech  Ct
2017-00053805,2017-08-21 17:56:00,2017-08-21 17:56:00,Other Incident,CBE,3900 block of  Campus  Dr
2017-00053813,2017-08-21 18:24:00,2017-08-21 18:24:00,Police Information,Suspended,3400 block of  Tulane  Dr
2017-00053931,2017-08-22 08:20:00,2017-08-22 08:29:00,Hazardous Condition,CBE,"TAP, Technology Advancement Program Building at 4467  Technology  Dr"
2017-00053956,2017-08-21 17:48:00,2017-08-22 10:40:00,Theft,Arrest,7000 block of  Preinkert  Dr
2017-00054069,2017-08-22 20:30:00,2017-08-22 20:30:00,CDS Violation,CBE,7400 block of  Preinkert  Dr
2017-00054105,2017-08-22 23:42:00,2017-08-22 23:42:00,DWI/DUI,Arrest,Bentleys at 7323  Baltimore  Ave
2017-00054176,2017-08-23 07:30:00,2017-08-23 11:09:00,Dept Property Damage/Loss,CBE,7500 block of  Baltimore  Ave
2017-00054213,2017-08-23 14:56:00,2017-08-23 15:00:00,Trespassing,Arrest,3400 block of  Tulane  Dr
2017-00054243,2017-08-11 10:00:00,2017-08-23 16:29:00,Theft,Suspended,3400 block of  Tulane  Dr
2017-00054305,2017-08-23 22:00:00,2017-08-23 22:06:00,Vandalism,Suspended,Benjamin Building at 3942  Campus  Dr
2017-00054321,2017-08-24 00:02:00,2017-08-24 00:02:00,Assist Other Agency,CBE,4400 block of  Knox  Rd
2017-00054351,2017-08-24 02:04:00,2017-08-24 02:04:00,Injured/Sick Person,CBE,Allegany Hall at 4299  Lehigh  Rd
2017-00054419,2017-08-23 23:00:00,2017-08-24 14:19:00,Other Incident,CBE,7500 block of  Baltimore  Ave
2017-00054421,2017-08-24 14:39:00,2017-08-24 14:39:00,Accident - Departmental,CBE,7500 block of  Baltimore  Ave
2017-00054539,2017-08-24 22:16:00,2017-08-24 22:16:00,CDS Violation,CBE,Wicomico Hall at 7218  Preinkert  Dr
2017-00054573,2017-08-25 00:12:00,2017-08-25 00:12:00,CDS Violation,Arrest,4300 block of  Knox  Rd
2017-00054604,2017-08-25 01:25:00,2017-08-25 01:25:00,Injured/Sick Person,CBE,Caroline Hall at 7154  Preinkert  Dr
2017-00054610,2017-08-25 01:47:00,2017-08-25 01:50:00,Injured/Sick Person,CBE,4400 block of  Lehigh  Rd
2017-00054611,2017-08-25 01:56:00,2017-08-25 01:56:00,Injured/Sick Person,CBE,Talbot Hall at 7569  Calvert Service  Ln
2017-00054626,2017-08-25 03:10:00,2017-08-25 03:10:00,Injured/Sick Person,CBE,7500 block of  Preinkert  Dr
2017-00054728,2017-08-25 12:31:00,2017-08-25 12:31:00,Injured/Sick Person,CBE,Martin Hall at 4298  Campus  Dr
2017-00054731,2017-08-25 13:17:00,2017-08-25 13:17:00,Other Incident,CBE,8600 block of  River Glade Run
2017-00054750,2017-08-25 12:00:00,2017-08-25 16:09:00,Vandalism,Suspended,Lot JJ2
2017-00054753,2017-08-25 16:10:00,2017-08-25 16:40:00,Assault (Title IX Related),CBE,7600 block of  Preinkert  Dr
2017-00054805,2017-08-25 20:17:00,2017-08-25 20:17:00,CDS Violation,Arrest,3900 block of  Denton Service  Ln
2017-00054877,2017-08-25 23:03:00,2017-08-25 23:03:00,Injured/Sick Person,CBE,4300 block of  Knox  Rd
2017-00054880,2017-08-25 23:21:00,2017-08-25 23:21:00,Injured/Sick Person,CBE,Plant Sciences Building at 4291  Fieldhouse  Dr
2017-00054881,2017-08-25 23:23:00,2017-08-25 23:23:00,Injured/Sick Person,CBE,7300 block of  Baltimore  Ave
2017-00054888,2017-08-25 23:45:00,2017-08-25 23:45:00,Injured/Sick Person,CBE,7200 block of  Preinkert  Dr
2017-00054913,2017-08-26 00:59:00,2017-08-26 00:59:00,DWI/DUI,Arrest,Princeton  Ave
2017-00054921,2017-08-26 01:31:00,2017-08-26 01:31:00,Injured/Sick Person,CBE,7300 block of  Baltimore  Ave
2017-00054928,2017-08-26 02:00:00,2017-08-26 02:00:00,Injured/Sick Person,CBE,Cambridge Hall at 4230  Farm  Dr
2017-00054931,2017-08-26 02:08:00,2017-08-26 02:08:00,Injured/Sick Person,CBE,Baltimore  Ave
2017-00054932,2017-08-26 02:13:00,2017-08-26 02:13:00,Injured/Sick Person,CBE,4000 block of  Stadium  Dr
2017-00054944,2017-08-26 03:54:00,2017-08-26 03:54:00,Injured/Sick Person,CBE,3900 block of  Denton Service  Ln
